pigment_code	pigment_name	image_name	pigment_words	pigment_type	chemical_name	chemical_formula	properties	permanence	toxicity	history	alternative_names	
PB28	PB28-Cobalt Blue	PB28-CobaltBlue	Cobalt Blue	inorganic	cobalt(II) oxide + aluminum oxide	CoO + Al2O3	"Cobalt blue is a semitransparent pigment with low to moderate tinting strength. When it dries, it appears lighter and less saturated. Pigment particles are large and grainy. Differences in how the pigment is ground and mixed lead to considerable differences in its performance among various manufacturers."	Cobalt blue is absolutely lightfast and extraordinarily stable. The stability of cobalt salts at high temperatures make them the standard for blues used in ceramics and glassware.	Cobalt salts are toxic. Avoid respiratory and skin contact. Soluble cobalt may cause irritation and allergic reaction through contact with skin. It is considered a possible carcinogen.	"Since ancient times, smalt blue has been used to color glass and ceramics. Cobalt salts, which give smalt its characteristic blue color, were identified in the 18th century. Techniques for manufacturing Cobalt Blue, a chemically pure salt of cobalt and aluminum oxide, were developed in 1802."	Smalt Blue	
PB36	PB36-Cobalt Chromite Blue Green Spinel	PB36-CobaltChromiteBlueGreenSpinel	Cobalt Chromite Blue Green Spinel	inorganic	Oxides of Cobalt and Chromium	"Co(Al,Cr)2O4"	Cobalt Chromite Blue is an opaque pigment with moderately low tinting strength.	Cobalt salts have excellent lightfastness and temperature stability.	"Cobalt salts are toxic when ingested or inhaled, and slightly toxic on contact with the skin. Evidence of Chromium(III) carcinogenicity is inconclusive. Chromium(III) salts appear in greenish pigments."	n/a	"Cobalt Turquoise, Shepherd Blue"	
PG50	PG50-Cobalt Green	PG50-CobaltGreen	Cobalt Green	inorganic	cobalt titanium oxide	Co2TiO4	"Cobalt Titanium Oxide is a low intensity color with a weak tinting strength, similar to Cobalt Blue. It has an average to fast drying time."	Cobalt Green has excellent permanence and lightfastness.	Cobalt Green  is considered toxic due to its cobalt component. Do not breathe its dust.	"Since ancient times, smalt blue has been used to color glass and ceramics. Cobalt salts, which give smalt its characteristic blue color, were identified in the 18th century. Techniques for manufacturing various cobalt salts, offering a range of blues and greens, were developed in the 19th century."	"Cobalt Teal, Cobalt Turquoise, Light Green Oxide"	
PV14	PV14-Cobalt Violet	PV14-CobaltViolet	Cobalt Violet	inorganic	cobalt phosphate	Co3(PO4)2	"Cobalt Violet is a pure hue that cannot be mixed from other colors. It is cool in its masstone, chemically stable, and semi-opaque. It has a weak tinting strength and is generally offered in a bluish and a reddish-violet shade. Cobalt Violet can be quite expensive, so it is used mostly as a top coat color. It is compatible with all painting media, but its light variety can change in oil form. It grays down considerably when mixed with white. Manganese Violet is a less costly substitute for the bluish variety of Cobalt Violet."	"Cobalt Violet has excellent permanence, and its lightfastness makes it more desirable than older organic dye violets."	"Cobalt Violet is highly toxic by both ingestion and inhalation, particularly in dry pigment form. However, much of the material presently used to make paints of this color is non-toxic cobalt phosphate."	"Cobalt comes from the Middle High German word kobolt, an underground goblin, because miners thought cobalt harmed silver ores. Cobalt Violet was the first real violet pigment and was described by Salvetat in 1859. The light variety of this pigment, developed in Germany earlier in the 19th century, was particularly poisonous due to its arsenic content. Cobalt Violet hues were the only permanent bright violets available to artists until the 1950s."	None	
PV23	PV37-Dioxazine Violet	PV37-DioxazineViolet	Dioxazine Violet	organic	carbazole dioxazine	n/a	"Dioxazine Violet is transparent and has very high tinting strength. Concentrated, it paints out nearly black, but it mixes with Titanium White to form birght, opaque tints of purple. PV37 produces slightly grayer tints than PV23."	Dioxazine Violet has good lightfastness. PV37 is considered slightly more lightfast than PV23.	n/a	"Two molecular variants of Dioxazine Violet, PV23 and PV37, are available. They have similar properties, but mix slightly differently."	"Dioxazine Purple, Chromothal Violet."	
PY129	PY129-Green Gold	PY129-GreenGold	Green Gold	"organic, polymethine"	copper azomethine green	n/a	A transparent greenish yellow pigment with low tinting strength.	Pigment PY129 has been reported to have very good lightfastness.	Pigment PY129 is not considered to be hazardous.	Pigment Yellow PY129 has been used in automotive coatings.	Magnacryl Azomethine Yellow	
PY3	PY3-Hansa Yellow 10G	PY3-HansaYellow10G	Hansa Yellow 10G	"organic, monoazo"	n/a	C16H12CL2N4O2	"This Hansa yellow is a transparent yellow. It has great brightness and tinting strength and its drying time ranges from average to slow. Hansa Yellow makes more intense tints and cleaner secondaries than Cadmium Yellows, especially when mixed with other organic or modern colors like Phthalo Blue and Green. Because they are more transparent, they have great value as glazing colors."	"This Hansa Yellow has fair to good permanence, particularly in the lighter shades."	"Hansa Yellow has no significant acute hazards, though its chronic hazards have not been well studied."	Hansa Yellows were first made in Germany just before WW1 from a series of synthetic dyestuffs called Pigment Yellow. They were intended to be a synthetic replacement for Cadmium Yellow.	"Arylamide Yellow, Arylide, Arylide Yellow, Azo, Brilliant Yellow, Monoazo, Monolite Yellow, Permanent Yellow."	
PB60	PB60-Indanthrene Blue	PB60-IndanthreneBlue	Indanthrene Blue	"organic, vat dyes"	"complex, insoluble anthraquinone"	C28H14N2O4	"Indanthrene Blue is a clear, clean, deep blue organic pigment. It has moderate to high tinting strength and is not as overpowering as Phthalo Blue. Hansa Yellow Deep, Benzimidazolone Orange, and Raw Umber are its best mixing complements."	Indanthrene Blue is permanent with excellent lightfastness in both masstone and tints.	"Indanthrene Blue varies in its acute toxicity, though toxicity is generally slight."	"Indanthrene Blue is the oldest vat dye, discovered and patented in 1901 by Rene Bohn. It is considered the first anthraquinone vat dye, a group of dyes characterized by excellent lightfastness. The pigment originates from this dye."	Indanthrone	
PY110	PY110-Isoindolinone Yellow	PY110-IsoindolinoneYellow	Isoindolinone Yellow	organic synthetic	isoindolinone yellow	n/a	Isoindolinone Yellow is a high performance pigment of excellent brightness and an average drying time.	Isoindolinone Yellow has excellent lightfastness.	Isoindolinone Yellow is not considered toxic.	"The first isoindoline pigments were patented in 1946, and commercial production of pigments in this group began in the 1960s. Several isoindoline yellow pigments are available."	Tetrachloroisoindolinone	
PBk9	PBk9-Ivory Black	PBk9-IvoryBlack	Ivory Black	charred animal bone	carbon + calcium phosphate	C + Ca3(PO4)2 or C _ CaPO4	"Ivory Black is a cool, semi-transparent blue-black with a slight brownish undertone and average tinting strength. It mixes well with any color, and creates a range of dull greens when mixed with yellow. It has good properties for use in oil, can be slow to dry in oil form, and should never be used in underpainting or frescoing. Ivory Black is denser than Lamp Black."	"Ivory Black is very lightfast and has good permanence, though it is considered the least permanent of the major black pigments."	Ivory Black has no significant hazards.	"Ivory Black is a carbon based black first named as Elephantium, and described in the 4th century BCE as produced by heating ivory scraps in clay pots to reduce the ivory or bone to charcoal. The deviation in names is because the more expensive varieties of this pigment were made by burning ivory, and the less expensive ones by burning animal bone. In the 19th century, the name Ivory Black was finally permitted to be applied to Carbon Black pigments made from bone. True Ivory Black is rare in modern times due to the protection of ivory, and the synthetic variety produced today was discovered in 1929. Bone Black is produced as an industrial pigment."	"Animal Black, Blue Black, Bone Black. Paris Black is an inferior grade of Ivory Black. Incorrectly labeled as Frankfort Black."	
PBk6	PBk6-Lamp Black	PBk6-LampBlack	Lamp Black	inorganic	carbon	C	"Lamp black is a very opaque, heavily staining black pigment that does not have much covering power. It is typically the most opaque black in watercolor form. Though a very pure black, it tends to muddy slightly in mixtures, is one of the slowest drying pigments in oils, and should not be used under other colors."	Lamp Black is very lightfast and absolutely permanent. It is used in all techniques in permanent painting.	Lamp Black is slightly toxic by skin contact and inhalation. It is a possible human carcinogen.	Lamp Black is a carbon based black traditionally produced by collecting soot (known as lampblack) from oil lamps. It is the black found in Egyptian murals and tomb decorations and was the most popular black for frescoing until the development of Mars Black.	"Carbon Black, Channel Black, Oil Black, Vegetable Black. Flame Black is an impure version of Lamp Black."	
PV16	PV16-Manganese Violet	PV16-ManganeseViolet	Manganese Violet	inorganic	manganese ammonium pyrophosphate	(NH4)2Mn2(P2O7)2 - Mn3(PO4)2 * 3H2O or H4O7P2H3NMn	"Manganese Violet is a semi-transparent, bluish-violet pigment with a discrete opacity and low tinting strength. It is the reddest of the violets, and it covers and dries well in oil and tempera. It also performs well in pastel, encaustic, and watercolor. Manganese Violet is not well suited for fresco or acrylic painting. There can be significant differences in color across brands. It shares similar properties with bluish shades of Cobalt Violet."	"Manganese Violet has excellent permanence and lightfastness, and it is one of the most lightfast, balanced violets in watercolor form."	Manganese Violet is highly toxic if inhaled and moderately toxic if ingested.	This pigment was developed in 1868 by E. Leykauf to replace the more expensive Cobalt Violet. It was not offered as an artists' pigment until 1890.	"Burgandy Violet, Mineral Violet, Nurnberg Violet, Permanent Violet."	
PY42	PY42-Mars Orange	PY42-MarsOrange	Mars Orange	"inorganic, earth"	iron oxide	Fe2O2 or Fe2O3  * H2O	"Mars Orange is a bright, extremely light red and appears almost pinkish in contrast with darker colors. It has incredible tinting strength and opacity. The synthetic form of Mars Orange is made from iron oxides and is cleaner, brighter, and denser than its ochre-based counterparts."	Mars Orange has excellent permanence and lightfastness.	Mars Orange has no significant hazards.	The word Mars refers to the Roman god of iron and war. Mars Orange has been manufactured as a pigment since the 17th century.	n/a	
PR112	PR112-Naphthol Red AS-D	PR112-NaphtholRedASD	Naphthol Red AS-D	"organic, monoazo"	n/a	C24H16Cl3N3O2	This Naphthol Red is an intense scarlet red pigment that is heavily staining. It has an average drying time. It is semi-transparent and has relatively poor covering power.	"This Naphthol Red has been rated as having excellent lightfastness under ASTM testing, but other testing methods have demonstrated some tendancy for the color to fade with exposure to strong ultraviolet light. It has been considered a replacement for less lightfast naphthol reds such as PR3. Not suitable for exterior use."	"Naphthol Reds are not considered toxic. Naphthol Red AS-D may cause eye, skin, or respiratory irritation. Contact with dry pigment should be avoided."	unknown	"Naphthal, Naphthol Bordeaux, Naphthol Carbamide, Naphthol Carmine, Permanent Carmine, Permanent Red, Fanchon Red."	
PY150	PY150-Nickel Azo Yellow	PY150-NickelAzoYellow	Nickel Azo Yellow	inorganic	nickel azomethine yellow	C30H18Cl2N6NiO4	"Nickel Azo Yellow is a transparent, moderately staining yellow pigment with high tinting strength. It is considered a good color match in botanical and landscape painting for natural gamboge (NY24), a historic yellow pigment with fair to poor lightfastness."	Nickel azomethine yellow has excellent lightfastness.	"Nickel azo yellow pigment is mildly toxic, and is often labeled as hazardous. Avoid respiratory and skin exposure to pigment dust. It should be disposed of properly with other hazardous wastes, not washed down the sink. However, the contribution of artist pigments to levels of nickel metal complexes in the environment is almost insignificant. Nickel is often present in the environment naturally. Nickel is used heavily in steelmaking, and in many industrial processes and products."	"Nickel azomethine yellow has been developed as an artist pigment becasue it is a close match for gamboge, a historic yellow."	"Gamboge Hue, New Gamboge."	
PY97	PY97-Permanent Yellow	PY97-PermanentYellow	Permanent Yellow	"organic, monoazo"	n/a	C26H27ClN4O8	"Permanent Yellow PY97 ranges from reddish yellow to greenish yellow with temperature shifts from cool to warm hues. It has good tinting strength and average to slow drying time. Similar in shade to Hansa Yellow 1, it offers much better fastness properties and good heat stability."	"Pigment PY97 has excellent lightfastness, particularly in the darker shades."	"No significant acute hazards of PY97 are known, though chronic hazards have not been well studied."	"Hansa Yellows were first made in Germany just before WW1 from a series of synthetic dyestuffs called Pigment Yellow. They were intended to be a synthetic replacement for Cadmium Yellow. Permanent Yellow (PY97) represents a further development of this line, with the aim of producing a yellow pigment that is suitable for exterior use."	"Arylide, Arylide Yellow, Azo, Brilliant Yellow, Monoazo, Monolite Yellow, Hansa Yellow."	
PR179	PR179-Perylene Maroon	PR179-PeryleneMaroon	Perylene Maroon	"organic, anthraquinone"	n/a	C26H14N2O4	"Perylene Maroon is a transparent, dull to moderately dull, deep red pigment. Its transparency makes it useful as a glazing color.  Its mixing complement is Phthalo Green, and together they produce a pure black that is darker than most carbon-based pigments. Perylene Maroon is not suitable for acrylics."	"Perylene Maroon has excellent permanence and lightfastness, and it can be an appropriate replacement for Anthraquinone Red in watercolor form."	Perylene Maroon has no significant acute toxicity. Its long term hazards are currently unknown.	"Perylenes have been used as vat dyes since 1912, but they were not manufactured and sold as pigments until 1957."	Perylene.	
PB15:0	PB15:0-Phthalo Blue	PB15-0-PhthaloBlue	Phthalo Blue	organic	copper phthalocyanine	C32H16CuN8	"Phthalo Blues are pure and clean primary blues with superior covering power. They have a very high tinting strength and tend to overwhelm other pigments, but if color strength can be controlled, they make predictable mixed colors. In oil form, blues are very deep and slow drying. When mixed with other colors or if chlorine is added, Phthalo Blue quickly tends towards green. When using alone, mix with some white, as Phthalo Blue can be semi-transparent and almost black on its own. It is among the most compatible of modern colors with mineral colors and is considered more reliable than Prussian Blue, while sharing the same physical and color properties. Phthalo Blue is a good color for glazing."	"Phthalo Blues are completely lightfast and stable and are permanent for all paint uses. They are currently used in inks, coatings, and many plastics due to their stability and are considered a standard pigment in printing ink and the packaging industry."	"Phthalo Blues have no significant hazards, although those made before 1982 contained some PCBs (polychlorinated biphenyls)."	"Developed by chemists using the trade name Monastral Blue, the organic blue dyestuff now known as Phthalo Blue was presented as a pigment in November 1935 in London. Its discovery was accidental. The dark color was observed in a kettle where a dye was being made from a British dyestuff plant. The demand for such a pigment came from commercial printers who wanted a cyan to replace Prussian Blue."	"Bocour Blue, Cyan Blue, Helio Blue, Heliogen Blue, Intense Blue, Monastral Blue, Phthalocyanine Blue, Rembrandt Blue, Thalo Blue, Winsor Blue."	
PB15:3	PB15:3-Phthalo Blue	PB15-3-PhthaloBlue	Phthalo Blue	organic	beta copper phthalocyanine	C32H16CuN8	Phthalo Blue PB15:3 is a structural variant of Phthalo Blue PB15 that produces more greenish tones.	"Phthalo Blues are completely lightfast and stable and are permanent for all paint uses. They are currently used in inks, coatings, and many plastics due to their stability and are considered a standard pigment in printing ink and the packaging industry."	"Phthalo Blues have no significant hazards, although those made before 1982 contained some PCBs (polychlorinated biphenyls)."	"Developed by chemists using the trade name Monastral Blue, the organic blue dyestuff now known as Phthalo Blue was presented as a pigment in November 1935 in London. Its discovery was accidental. The dark color was observed in a kettle where a dye was being made from a British dyestuff plant. The demand for such a pigment came from commercial printers who wanted a cyan to replace Prussian Blue."	"Phthalo Blue Green Shade, Winsor Blue Green Shade"	
PG36	PG36-Phthalo Green	PG36-PhthaloGreen	Phthalo Green	organic	polybromopolychlorinated copper(II) phthalocyanine	C32H3Cl13CuN8 to C32HCl15CuN8 or C32H16CuN8Cl15 (PG7) or C32Br6Cl10CuN8 (PG36)	"Phthalo Green is a transparent, cool, bright, high intensity color used in oil and acrylics. It comes from a Phthalocyanine Blue pigment where most of the hydrogen atoms have been replaced with chlorine, forming highly stable molecules.  Pigment PG36 differs from PG7 in that a portion of the chlorine atoms are replaced with bromine atoms, which are reactively similar, but cause a yellow shift that is especially noticeable in mixtures. Phthalo Green has similar pigment properties and permanence to Phthalo Blue. It is slow drying and an excellent base color for mixing a range of bright greens. Phthalo Green is considered a very good alternative to Viridian because it is intense and mixes well and can be used to emphasize mineral colors in various tints. However, its tinting strength is very high, so it can overpower other colors.  This pigment most closely resembles the discontinued and toxic Verdigris."	"Phthalo Greens are completely lightfast and resistant to alkali, acids, solvents, heat, and ultraviolet radiation. They are currently used in inks, coatings, and many plastics due to their stability and are considered a standard pigment in printing ink and the packaging industry."	"Phthalo Green has no significant hazards, but it contained PCBs (polychlorinated biphenyls) until 1982."	This bright blue-green was developed in 1935 and has been in use since 1938.	"Bocour Green, Cyan Green, Intense Green, Monastral Green, Phthalocyanine Green, Rembrandt Green, Thalo Green, Winsor Green."	
PG7	PG7-Phthalo Green	PG7-PhthaloGreen	Phthalo Green	organic	polychlorinated copper(II) phthalocyanine	C32H3Cl13CuN8 to C32HCl15CuN8 or C32H16CuN8Cl15 (PG7) or C32Br6Cl10CuN8 (PG36)	"Phthalo Green is a transparent, cool, bright, high intensity color used in oil and acrylics. It comes from a Phthalocyanine Blue pigment where most of the hydrogen atoms have been replaced with chlorine, forming highly stable molecules.  It has similar pigment properties and permanence to Phthalo Blue. It is slow drying and an excellent base color for mixing a range of bright greens. Phthalo Green is considered a very good alternative to Viridian because it is intense and mixes well and can be used to emphasize mineral colors in various tints. However, its tinting strength is very high, so it can overpower other colors.  This pigment most closely resembles the discontinued and toxic Verdigris."	"Phthalo Greens are completely lightfast and resistant to alkali, acids, solvents, heat, and ultraviolet radiation. They are currently used in inks, coatings, and many plastics due to their stability and are considered a standard pigment in printing ink and the packaging industry."	"Phthalo Green has no significant hazards, but it contained PCBs (polychlorinated biphenyls) until 1982."	This bright blue-green was developed in 1935 and has been in use since 1938.	"Bocour Green, Cyan Green, Intense Green, Monastral Green, Phthalocyanine Green, Rembrandt Green, Thalo Green, Winsor Green."	
