paint_name	paint_number	temperature	sort_order	color_family	pigment_composition	pigments	lightfast_rating	opacity	staining_granulating 	other_names	history
Cadmium Yellow Deep 063	63	Warm	70	Yellows	Cadmium Zinc Sulfide (PY 35)  	PY35-Cadmium Yellow	Excellent - LF I	Opaque	Granulating  	"Aurora Yellow, Cadmium Primrose Yellow, Cadmium Zinc Yellow, Lemon Yellow, Primrose Yellow. Deep Cadmium Yellow is sometimes called Orient Yellow."	"Cadmium Yellow Deep is a warm yellow opaque pigment. It is a genuine single pigment color with excellent tinting qualities. A by-product of the zinc industry, Cadmium was discovered in 1817."
Cadmium Yellow Light 070	70	Cool	30	Yellows	Cadmium Zinc Sulfide (PY 35)  	PY35-Cadmium Yellow	Excellent - LF I	Opaque	Granulating  	"Cadmium Yellow Pale, Aurora Yellow, Cadmium Primrose Yellow, Cadmium Zinc Yellow, Lemon Yellow, Primrose Yellow. Deep Cadmium Yellow is sometimes called Orient Yellow."	"Cadmium Yellow Pale is a light yellow color. It is an opaque single pigment color with excellent tinting properties. A by-product of the zinc industry, Cadmium was discovered in 1817."
Cerulean Blue 080	80	Warm	330	Blues	Oxides of Cobalt and Chromium (PB 36) 	PB36-Cobalt Chromite Blue Green Spinel	Excellent - LF I	Semi Opaque	Granulating  	"Cobalt Turquoise, Shepherd Blue"	"The name ""Cerulean blue"" comes from Latin careless = dark blue caelum which in turn probably derives from caelulum, diminutive of caelum, ""heaven, sky"".. It's a cobalt stannate which was introduce as a pigment in the 1860s. Very stable and lightfast greenish blue with limited hiding power. "
Cerulean Blue Deep 081	81	Warm	340	Blues	Oxides of Cobalt and Chromium (PB 36) 	PB36-Cobalt Chromite Blue Green Spinel	Excellent - LF I	Semi Opaque	Granulating  	"Cobalt Turquoise, Shepherd Blue"	"The name ""Cerulean blue"" comes from Latin careless = dark blue caelum which in turn probably derives from caelulum, diminutive of caelum, ""heaven, sky"".. It's a cobalt stannate which was introduce as a pigment in the 1860s. Very stable and lightfast greenish blue with limited hiding power. "
Chinese White 085	85	Monochrome	690	"Whites, Monochrome"	Titanium Dioxide (PW 6) 	PW6-Titanium White	Excellent - LF I	Opaque	Granulating  	Titanium White	"Strongest, most brilliant white available to artists in the entire history of art. Excellent hiding power and with twice the opacity of pure lead white. Its chemical stability is likewise outstanding. The pigments natural ore is rutile (titanium dioxide) and manufacturing it as a pigment presented difficulties and it was not until 1921 that American and Norwegian companies began to develop its production for painting."
Cobalt Blue 090	90	Warm	310	Blues	Oxides of Cobalt  and Aluminum (PB 28) 	PB28-Cobalt Blue	Excellent - LF I	Semi Transparent	Granulating  	"Smalt Blue, Thénards blue, Dresden blue"	"It's a cobalt oxide-aluminum oxide. Very costly and extraordinary stable pigment of pure blue color discovered by Thénard in 1802. It is now the most important of the cobalt pigments. Although smalt, a pigment made from cobalt blue glass has been known at least since the Middle Ages, the cobalt blue established in the nineteenth century was a greatly improved one. Vincent van Gogh declared to his brother Teo, ‘Cobalt [blue] is a divine colour and there is nothing so beautiful for putting atmosphere around things…"""
Cobalt Green 095	95	Cool	440	Greens	Cobalt Titanate (PG 50) 	PG50-Cobalt Green	Excellent - LF I	Semi Opaque	Granulating  	"Light Green Oxide, Rinmans green, zinc green"	"It's a green cobalt-oxide-zinc-oxide, semi-transparent of limited hiding power discovered by Rinmann in 1780. Due to its permanence it can be used in all painting techniques. The poor tinting strength and high cost of cobalt green kept it in limited use. Field called it, ""chemically good and artistically bad"""
Cobalt Teal 097	97	Cool	390	Blues	Cobalt Aluminate (PB 28) 	PB28-Cobalt Blue	Excellent - LF I	Semi Opaque	Granulating  	"Cobalt Teal, Cobalt Turquoise"	"Same Pigment as Cobalt Blue. It's a cobalt oxide-aluminum oxide. Very costly and extraordinary stable pigment of pure blue colour discovered by Thénard in 1802. It is now the most important of the cobalt pigments. Although smalt, a pigment made from cobalt blue glass has been known at least since the Middle Ages, the cobalt blue established in the nineteenth century was a greatly improved one. Vincent van Gogh declared to his brother Teo, ‘Cobalt [blue] is a divine colour and there is nothing so beautiful for putting atmosphere around things…"""
Cobalt Violet 099	99	Cool	260	Violets	Cobalt Phosphate (PV 14) 	PV14-Cobalt Violet	Excellent - LF I	Semi Transparent	Granulating  	None	"The first real violet pigment prepared by Salvètat in 1859. It is chemically stable, but its rather high cost and low tinting power prevented its wider use in paintings. Not unlike its older sister Cobalt Green, its drawbacks included high cost and weak colouring power, both of which limited its use among painters. It was quickly replaced by the cleaner, stronger pigment Manganese Violet."
Dioxazine Purple 100	100	Cool	280	Violets	Carbazole Dioxazine (PV 23) 	PV37-Dioxazine Violet	Very Good - LF II 	Transparent	Staining	"Dioxazine Purple, Chromothal Violet."	"Dioxazine Purple is a vivid mid-shade purple pigment. When undiluted, it can be used as a deep black. It is made from a transparent coal tar pigment and was introduced into the Winsor & Newton range in the 1960s."
Gamboge 105	105	Warm	80	Yellows	Benzimidazolone Yellow (PY 151) Benzimidazolone Orange (PO 62) 	"PY151-Benzimidazolone Yellow,PO62-Benzimidazolone Orange"	Excellent - LF I	Transparent	Staining	Blend of Benzimidazolone Yellow and Orange	Partially transparent deep saffron to mustard yellow pigment.
Hansa Yellow 107	107	Cool	20	Yellows	Arylide Yellow (PY 3) 	PY3-Hansa Yellow 10G	Very Good - LF II 	Transparent	Staining	"Arylamide Yellow, Arylide, Arylide Yellow, Azo, Brilliant Yellow, Monoazo, Monolite Yellow, Permanent Yellow, Windsor Yellow."	The Yellow Hansa group of modern pigments first developed by the German Hoechst company in the early 1900s.
Hansa Yellow Deep  106	106	Cool	50	Yellows	Arylide Yellow  (PY 97) 	PY97-Permanent Yellow	Very Good - LF II 	Transparent	Staining	"Arylide, Arylide Yellow, Azo, Brilliant Yellow, Monoazo, Monolite Yellow, Hansa Yellow, Windsor Yellow, Deep."	The Yellow Hansa group of modern pigments first developed by the German Hoechst company in the early 1900s.
Hooker's Green 108	108	Warm	470	Greens	Chlorinated Copper Phthalocyanine(PG 7) Isoindolinone Yellow (PY 110) 	"PG7-Phthalo Green,PY110-Isoindolinone Yellow"	Excellent - LF I	Transparent	Staining	Same Pigments as Sap Green	Hooker's green is a dark green color created by mixing Prussian blue and Gamboge. The color is displayed at right. Hooker's green takes its name from botanical artist William Hooker (1779–1832) who first created a special pigment for leaves.
Indian Yellow 109	109	Warm	90	"Yellows, Oranges"	Isoindolinone Yellow (PY 110)	PY110-Isoindolinone Yellow	Excellent - LF I	Transparent	Staining	"Tetrachloroisoindolinone, Snowshoe Yellow"	"Clear, deep and luminescent yellow pigment. Indian yellow, magnesium euxanthate, used since ancient times in the Far East, was used by european artist painters in both oil paints and watercolors from the 15th to the 19th century. It was likely first used by Dutch artists, and before the end of 18th century it was commonly used by artists across Europe. Its origin was unknown until an investigation in the year 1883 which discovered that indian yellow pigment was manufactured in rural India from the urine of cattle fed only on mango leaves and water. Banned in England in 19th Century"
Ivory Black 110	110	Monochrome	650	"Blacks, Monochrome"	Amorphous Carbon (PBk 9) 	PBk9-Ivory Black	Excellent - LF I	Semi Transparent	Granulating  	"Animal Black, Blue Black, Bone Black. Paris Black is an inferior grade of Ivory Black. Incorrectly labeled as Frankfort Black."	"It is made from charring of bones or waste ivory. It was used from prehistory and it is in use until today. Ivory Black is therefore the least pure form of carbon black, containing a high percentage of calcium phosphate."
Lamp Black 112	112	Monochrome	660	"Blacks, Monochrome"	Nearly Pure Amorphous Carbon (PBk 6) 	PBk6-Lamp Black	Excellent - LF I	Semi Transparent	Granulating  	"Carbon Black, Channel Black, Oil Black, Vegetable Black. Flame Black is an impure version of Lamp Black."	"Lamp black was traditionally produced by collecting soot, also known as lampblack, from oil lamps."
Manganese Blue Hue 114	114	Cool	380	"Blacks, Monochrome"	Copper Phthalocyanine (PB 15:3) Zinc Oxide (PW 4)	"PB15:3-Phthalo Blue,PW4-Zinc White"	Excellent - LF I	Transparent	Staining	Blend of Phtalo Blue and Zinc White	Manganese Blue Hue is a clear greenish azure blue colour. It is based on the now obsolete Manganese Blue made of Barium Manganate.
Maroon Perylene 113	113	Cool	220	Reds	Perylene (PR 179)	PR179-Perylene Maroon	Excellent - LF I	Transparent	Staining	Perylene.	Perylene Maroon is a dark maroon pigment. Perylene is a modern synthetic organic pigment and was first available as a dye around 1912 before becoming available as an artist pigment in the late 1950s.
Mineral Violet 116	116	Cool	250	Violets	Manganese Ammonium Pyro Phosphate & Silicate of Sodium (PV 16) Aluminum with Sulfur (PV 15)	"PV16-Manganese Violet,PV15-Ultramarine Violet"	Excellent - LF I	Semi Opaque	Granulating  	"manganese violet, permanent mauve, mineral violet, manganese violet, mineral violet, manganese violet - blue"	"Permanent Mauve is a rich violet colour. It is semi-transparent and lightfast. Mauve, originally a lake pigment, was discovered in England in 1856 by Sir William Perkin."
Naphthol Red 120	120	Warm	150	Reds	Naphthol AS-D (PR 112)	PR112-Naphthol Red AS-D	Very Good - LF II	Transparent	Staining	"Naphthal, Naphthol Bordeaux, Naphthol Carbamide, Naphthol Carmine, Permanent Carmine, Permanent Red, Fanchon Red."	It is a single pigment paint with medium shade is strong and semi transparent.
Naples Yellow 121	121	Earth Tones	550	Yellows	Chromium Titanium Oxide (PBr 24)	PBr24-Chrome Antimony Titanate	Excellent - LF I	Opaque	Granulating  	"Chrome Antimony Titanium Buff Rutile, Chrome Titanate, Chrome Titanate Brown"	"One of the oldest synthetic pigments with very good hiding power, tinting strength, drying properties and chemical stability. It's a lead antimonate used as a colour tint in yellow ceramic glazes already in Babylon and Assyria and was also found in Egyptian glass of the XIX Dynasty. It was reputably a pigment in the palette of the Old Masters but generally its history is unsure. Up until the watercolour period its importance is undocumented. It has been essential to the landscape tradition because it has the quality of appearing to receed into the picture's distant plain sun like other yellows which sit in front of the plain."
Neutral Tint 122	122	Monochrome	670	"Blacks, Monochrome"	Quinacridone Violet (PV 19) Chlorinated Copper  Phthalocyanine (PG 7)  	"PV19-Quinacridone Violet,PG7-Phthalo Green"	Excellent - LF I	Transparent	Staining	Convenience Blend	Neutral Tint is a grey black pigment. It is an opaque watercolor with staining properties.
Nickel Azo Yellow 123	123	Earth Tones	540	Yellows	Nickel Azo Complex (PY 150) 	PY150-Nickel Azo Yellow	Excellent - LF I	Transparent	Staining	"Gamboge Hue, New Gamboge."	"New Gamboge is a recently reformulated warm yellow pigment resembling genuine toxic Gamboge. Made from tree resin, genuine Gamboge was brought to Europe in 1603 and was believed to carry medicinal cures."
Nickel Quinacridone Gold 124	124	Earth Tones	560	Yellows	Quinacridone Orange (PO 48) Nickel Azo Complex (PY 150)	"PO48-Quinacridone Gold,PY150-Nickel Azo Yellow"	Excellent - LF I	Transparent	Staining	Blend of Multiple Quinacridones.	"Quinacridone are great mixing colors because they are highly transparent and have vibrant undertones. This is a reformulation of the original Quinacridone Gold that is indistinquishable from the older formula.  Although it looks a lot like a Sienna in its ""mass tone"" (that would be full strength right out of the bottle or tube), it is has a yellow undertone that transforms it when applied to a surface.  You can't find that in a Sienna!  Try it to ""age a page"" or create a golden glaze.  It is a delicious way to create a faux ""tea-stain"" look or create a leathered patina to textured paper. When you apply it OVER another color the results are amazing.  "
Olive Green 125	125	Warm	490	Greens	Azomethine Complex (PY 129)  Chlorinated Copper  Phthalocyanine  (PG 7) Isoindolinone Yellow (PY 110)  Amorphous Carbon (PBk 9) 	"PY129-Green Gold,PG7-Phthalo Green,PY110-Isoindolinone Yellow,PBk9-Ivory Black"	Excellent - LF I	Transparent	Staining	Blend of 4 Pigments including Black.	"Olive Green is a conventional label for a dark valued, dull green yellow paint, with a hue angle of around 100, yellower and lighter valued than sap green. Convenience Greens are developed as substitutes for fugitive or antiquated green pigments. "
Payne's Gray 128	128	Monochrome	680	"Blacks, Monochrome"	Amorphous Carbon (PBk 9) Silicates of Sodium and Aluminum with Sulphur (PB 29) 	"PBk9-Ivory Black,PB29-Ultramarine [Blue]"	Excellent - LF I	Semi Transparent	Granulating  	Multiple Pigments	"Payne's Gray is a dark blue grey made from a mixture of Ultramarine, Mars Black and sometimes Crimson. It was named after the 18th c. water-colourist William Payne who created the mixture and often recommended it to his students as an alternative to plain black."
Permanent Alizarin Crimson 129	129	Cool	210	Reds	Diketo Pyrrolopyrrol (PR 264)	PR264-Pyrrole Rubine	Very Good - LF II	Transparent	Staining	Irgazine Ruby	"Highly transparent with a blue undertone, Permanent Alizarin Crimson is a vivid red colour. Introduced in 1994, it has been formulated as a highly permanent red pigment."
Permanent Green Light 130	130	Warm	450	Greens	Chlorinated Copper Phthalocyanine (PG 7)  Benzimidazolone Yellow (PY 151) 	"PG7-Phthalo Green,PY151-Benzimidazolone Yellow"	Excellent - LF I	Semi Opaque	Staining	Multiple Pigments	"Permanent Green Light is a vivid bright green colour. A mixed pigment colour, it is extremely lightfast and permanent. Convenience Greens are developed as substitutes for fugitive or antiquated green pigments. "
Permanent Green Pale 131	131	Warm	460	Greens	Chlorinated Copper Phthalocyanine (PG 7)  Arylide Yellow (PY 3)	"PG7-Phthalo Green,PY3-Hansa Yellow 10G"	Very Good - LF II	Transparent	Staining	Multiple Pigments	"Permanent Green Pale is a vivid bright green colour. A mixed pigment colour, it is extremely lightfast and permanent. Convenience Greens are developed as substitutes for fugitive or antiquated green pigments. "
Phthalo Blue 140	140	Cool	370	Blues	Copper Phthalocyanine (PB 15:3) 	PB15:3-Phthalo Blue	Excellent - LF I	Transparent	Staining	"Phthalo Blue Green Shade, Winsor Blue Green Shade"	"Phthalo Blue is a bright, crystalline, synthetic blue pigment from the group of phthalocyanine dyes. It was first developed as a pigment in the mid-1930s."
Phthalo Blue Red Shade 141	141	Warm	350	Blues	Copper Phthalocyanine (PB 15:0	PB15:0-Phthalo Blue	Excellent - LF I	Transparent	Staining	"Bocour Blue, Cyan Blue, Helio Blue, Heliogen Blue, Intense Blue, Monastral Blue, Phthalocyanine Blue, Rembrandt Blue, Thalo Blue, Winsor Blue."	"Phthalo Blue is a bright, crystalline, synthetic blue pigment from the group of phthalocyanine dyes. It was first developed as a pigment in the mid-1930s."
Phthalo Green 150	150	Cool	410	Greens	Chlorinated Copper Phthalocyanine (PG 7) 	PG7-Phthalo Green	Excellent - LF I	Transparent	Staining	"phthalo green, Pigment Green 7, Copper Phthalocyanine Green"	"Phthalo Green is a synthetic green pigment from the group of phthalocyanine dyes, a complex of copper(II) with chlorinated phthalocyanine. It is a very soft green powder insoluble in water. Phthalocyanine green is a phthalocyanine blue pigment where most of the hydrogen atoms are replaced with chlorine. "
Phthalo Green Yellow Shade 151	151	Cool	430	Greens	Brominated Copper Phthalocyanine (PG 36) 	PG36-Phthalo Green	Excellent - LF I	Transparent	Staining	"Bocour Green, Cyan Green, Intense Green, Monastral Green, Phthalocyanine Green, Rembrandt Green, Thalo Green, Winsor Green."	"Phthalo green was introduced in 1938 and is a synthetic organic from the group of phthalocyanine dyestuffs. It is a soft green powder insoluble in water, which poses no health hazards. Previous to its introduction, the only greens capable of equal brilliance were the original Emerald Greens which were opaque, more limited in their mixtures, harmful and much less permanent."
Prussian Blue 153	153	Cool	360	Blues	Ferriammonium Ferrocyanide (PB 27) 	PB27-Prussian Blue	Excellent - LF I	Transparent	Staining	"Berlin Blue, Bronze Blue, Iron Blue, Paris Blue, Paste Blue. Celestial Blue, Monthier Blue and Soluble Blue are varieties of Prussian Blue. Blue Lake is a reduced or let-down variety of Prussian Blue. Chinese Blue, Milori Blue, and Steel Blue are the three highest grades of Prussian Blue."	"Prussian blue was one of the first synthetic pigments. Prussian blue [Fe4[Fe(CN)6]3] was probably synthesized for the first time by the paint maker Diesbach in Berlin around the year 1706. The pigment is used in paints, and it is the traditional ""blue"" in blueprints. In medicine, Prussian blue is used as an antidote for certain kinds of heavy metal poisoning, e.g., by caesium and thallium."
Pyrrol Red 154	154	Warm	160	Reds	Diketo Pyrrolopyrrol (PR 254)	PR254-Pyrrole Red	Excellent - LF I	Semi Transparent	Staining	"Magnacryl Red, Versal Red, Microlith Red, Unisphere Red, Cromophtol Red, Irgazin Red."	Pyrrole red is an organic low toxicty lightfast warm red pigment.  The pigment came from automotive industry research which wanted a durable red pigment for high end sports cars. The color Ferrari Red is Pyrrole red.
Quinacridone Red 155	155	Warm	130	Reds	Quinacridone Red (PR 209)	PR209-Quinacridone Red	Excellent - LF I	Transparent	Staining	n/a	Quinacridones are a family of synthetic pigments that have exceptional color and weather fastness
Quinacridone Rose 156	156	Cool	190	Reds	Quinacridone Violet (PV 19) 	PV19-Quinacridone Violet	Excellent - LF I	Transparent	Staining	"Quinacridone Red (PR192), Quinacridone Red (PR19)."	Quinacridones are a family of synthetic pigments that have exceptional color and weather fastness
Quinacridone Rust 157	157	Earth Tones	580	Earth Tones	Quinacridone Orange (PO 48) 	PO48-Quinacridone Gold	Excellent - LF I	Transparent	Staining	"Pigment Orange 48, Quinacridone Orange, Quinacridone Burnt Orange"	Quinacridones are a family of synthetic pigments that have exceptional color and weather fastness
Quinacridone Violet 158	158	Cool	230	Violets	Quinacridone Violet (PV 19) 	PV19-Quinacridone Violet	Excellent - LF I	Transparent	Staining	"Quinacridone Red (PR192), Quinacridone Red (PR19)."	Quinacridones are a family of synthetic pigments that have exceptional color and weather fastness
Raw Sienna 160	160	Earth Tones	530	Earth Tones	Natural Iron Oxide (PBr 7)	PBr7-Raw Sienna	Excellent - LF I	Semi Transparent	Granulating  	"Italian Earth, Natural Brown Iron Oxide, Sienna."	Raw sienna is a brownish-yellow earth color obtained from a natural clay containing iron and manganese; burnt sienna is reddish-brown.
Raw Umber 170	170	Earth Tones	630	Earth Tones	Natural Iron Oxide containing Manganese (PBr 7) 	PBr7-Raw Umber	Excellent - LF I	Semi Transparent	Granulating  	"Chestnut Brown, Euchrome, Jacaranta Brown, Mars Brown, Raw Brown, Sicilian Brown. Cyprus Umber, Turkey Brown, and Turkey Umber are the best quality umbers."	"Raw Umber is an earth consisting chiefly of a hydrated oxide of iron and some oxide of manganese, used in its natural state as a brown pigment (raw umber) or, after heating, as a reddish-brown pigment (burnt umber)."
Sap Green Permanent 174	174	Warm	480	Greens	Chlorinated Copper Phthalocyanine (PG 7) Isoindolinone Yellow (PY 110) 	"PG7-Phthalo Green,PY151-Benzimidazolone Yellow"	Excellent - LF I	Transparent	Staining	Hooker's Green uses the same pigments.	Sap Green Permanent is a rich mid-range green with a yellow undertone. Originally Sap Green was a lake pigment made from unripe Buckthorn berries.
Scarlet Pyrrol 176	176	Warm	120	"Reds, Oranges"	Diketo Pyrrolopyrrol (PO 73)	PO73-Transparent Pyrrole Orange	Excellent - LF I	Transparent	Staining	"Irgazin Orange, Bright Orange, Aritint Ornage, Unisphere DPP Orange, Dipyrrolopyrrol Orange"	"Pyrrole orange PO73 is a lightfast, semitransparent, heavily staining, moderately dark valued, very intense red orange pigment, manufactured exclusively by Ciba Specialty Chemicals (SZ) as Irgazin DPP Orange."
Sepia 178	178	Earth Tones	640	Earth Tones	Calcined Natural Iron Oxide (PBr 7) Nearly Pure Amorphous Carbon (PBk 6) 	"PBr7-Raw Umber,PBk6-Lamp Black"	Excellent - LF I	Semi Transparent	Granulating  	n/a	"Sepia is a black brown colour. Originally made in the 18th century from the ink sacks of cuttlefish, it is now made from a mixture of carbon and umber. It is a highly permanent colour."
Terra Rosa 179	179	Earth Tones	610	Earth Tones	Synthetic Iron Oxide (PR 101) 	PR101-Red Iron Oxide	Excellent - LF I	Opaque	Granulating  	"Indian Red, Colcothar, English Red, Light Red, Mars Red, Mars Violet, Morelle Salt, Pompeian Red, Indian Red, Red Oxide, Sinopia, Spanish Red, Terra Rosa, Tuscan Red, Venetian Red, Venice Red."	"Terra Rosa is an opaque red colour with blue undertones. Originally made of natural red iron oxides found in earth, it is one of the oldest pigments and is favoured for its permanence."
Titanium White Opaque 180	180	Monochrome	700	"Whites, Monochrome"	Titanium Dioxide (PW 6) 	PW6-Titanium White	Excellent - LF I	Opaque	Granulating  	Titanium White	"Strongest, most brilliant white available to artists in the entire history of art. Excellent hiding power and with twice the opacity of pure lead white. Its chemical stability is likewise outstanding. The pigments natural ore is rutile (titanium dioxide) and manufacturing it as a pigment presented difficulties and it was not until 1921 that American and Norwegian companies began to develop its production for painting."
Transparent Orange Oxide 186	186	Earth Tones	570	Oranges	Synthetic Iron Oxide (PY 42) Synthetic Iron Oxide (PR 101)	"PY42-Mars Orange,PR101-Red Iron Oxide"	Excellent - LF I	Transparent	Granulating  	Multiple Pigments	Convenience Blend of Mars Orange and Red Iron Oxide.
Transparent Red Oxide 187	187	Earth Tones	590	Reds	Synthetic Iron Oxide (PR 101)	PR101-Red Iron Oxide	Excellent - LF I	Transparent	Granulating  	"Indian Red, Colcothar, English Red, Light Red, Mars Red, Mars Violet, Morelle Salt, Pompeian Red, Indian Red, Red Oxide, Sinopia, Spanish Red, Terra Rosa, Tuscan Red, Venetian Red, Venice Red."	Synthetic Iron Oxide is a very transparent warm red brown with intense hot undertone.
Transparent Yellow Oxide 188	188	Earth Tones	510	Yellows	Mars Orange (PY 42)	PY42-Mars Orange	Excellent - LF I	Transparent	Granulating  	n/a	" Synthetic yellow iron oxide PY42 is a very lightfast, opaque, staining, light valued to moderately dark valued, moderately intense to dull earth yellow pigment."
Turquoise 189	189	Cool	400	Blues	Copper Phthalocyanine (PB 15:3) Chlorinated Copper  Phthalocyanine (PG 7)	"PB15:3-Phthalo Blue,PG7-Phthalo Green"	Excellent - LF I	Transparent	Staining	Pthalo Turquoise	Turquoise is an opaque blend of green and blue pigments. The name stems from the French 'Turquoise' for the semi-precious stone that was exported to Europe from Persia via Turkey.
Ultramarine Blue 190	190	Warm	300	Blues	Silicate of Sodium & Aluminum with Sulfur (PB 29) 	PB29-Ultramarine [Blue]	Excellent - LF I	Transparent	Granulating  	"Artificial Ultramarine, French Blue, French Ultramarine, Gmelin's Blue, Guimet's Blue, Permanent Blue, Royal Blue, Synthetic Ultramarine. New Blue describes particular shades of Ultramarine. Armenian Blue and Lazuline Blue are names for genuine Lapiz Ultramarine. Sky Blue is a pale tone of Ultramarine."	"The finest blue known to the ancients, was obtained from the precious stone lapis lazuli (lazurite), a costly mineral. The mineral lazurite is a complex sodium calcium aluminum silicate sulfate. Lapis lazuli has been mined for centuries from a location still in use today in the mountain valley of Kokcha, Afghanistan. First mined 6,000 years ago, the rock was transported to Egypt and later to Europe where it was used in jewelry and paint pigment. Europeans called the expensive powdered pigment ultramarine, which literally means over the sea. Since the 19th century, ultramarine has been manufactured artificially"
Ultramarine Pink 192	192	Cool	240	Violets	Silicate of Sodium & Aluminum with Sulfur (PR 258)	PR259-Ultramarine Pink	Excellent - LF I	Semi Opaque	Granulating  	Pink Ultramarine	"The color appearance is a light valued, dull red violet, warmer than ultramarine violet (red shade). "
