paint_name	paint_number	temperature	sort_order	color_family	pigment_composition	pigments	lightfast_rating	opacity	staining_granulating 
Lamp Black 112	112	Monochrome	660	Blacks	Nearly Pure Amorphous Carbon (PBk 6) 	PBk6-Lamp Black	Excellent - LF I	Semi Transparent	Granulating  
Ivory Black 110	110	Monochrome	650	Blacks	Amorphous Carbon (PBk 9) 	PBk9-Ivory Black	Excellent - LF I	Semi Transparent	Granulating  
Payne's Gray 128	128	Monochrome	680	Blacks	Amorphous Carbon (PBk 9) Silicates of Sodium and Aluminum with Sulphur (PB 29) 	"PBk9-Ivory Black,PB29-Ultramarine [Blue]"	Excellent - LF I	Semi Transparent	Granulating  
Naples Yellow 121	121	Earth Tones	550	Yellows	Chromium Titanium Oxide (PBr 24)	PBr24-Chrome Antimony Titanate	Excellent - LF I	Opaque	Granulating  
Burnt Sienna 020	20	Earth Tones	600	Earth Tones	Calcined Natural Iron Oxide (PBr 7)	PBr7-Burnt Sienna	Excellent - LF I	Semi Transparent	Granulating  
Burnt Umber 030	30	Earth Tones	620	Earth Tones	Calcined Natural Iron Oxide containing Manganese (PBr 7)	PBr7-Burnt Umber	Excellent - LF I	Semi Transparent	Granulating  
Raw Sienna 160	160	Earth Tones	530	Earth Tones	Natural Iron Oxide (PBr 7)	PBr7-Raw Sienna	Excellent - LF I	Semi Transparent	Granulating  
Raw Umber 170	170	Earth Tones	630	Earth Tones	Natural Iron Oxide containing Manganese (PBr 7) 	PBr7-Raw Umber	Excellent - LF I	Semi Transparent	Granulating  
Sepia 178	178	Earth Tones	640	Earth Tones	Calcined Natural Iron Oxide (PBr 7) Nearly Pure Amorphous Carbon (PBk 6) 	"PBr7-Raw Umber,PBk6-Lamp Black"	Excellent - LF I	Semi Transparent	Granulating  
Viridian 195	195	Cool	420	Greens	Hydrous Chromium Sesquioxide (PG 18) 	PG18-Viridian	Excellent - LF I	Transparent	Granulating  
Phthalo Green Yellow Shade 151	151	Cool	430	Greens	Brominated Copper Phthalocyanine (PG 36) 	PG36-Phthalo Green	Excellent - LF I	Transparent	Staining
Cobalt Green 095	95	Cool	440	Greens	Cobalt Titanate (PG 50) 	PG50-Cobalt Green	Excellent - LF I	Semi Opaque	Granulating  
Phthalo Green 150	150	Cool	410	Greens	Chlorinated Copper Phthalocyanine (PG 7) 	PG7-Phthalo Green	Excellent - LF I	Transparent	Staining
Hooker's Green 108	108	Warm	470	Greens	Chlorinated Copper Phthalocyanine(PG 7) Isoindolinone Yellow (PY 110) 	"PG7-Phthalo Green,PY110-Isoindolinone Yellow"	Excellent - LF I	Transparent	Staining
Permanent Green Light 130	130	Warm	450	Greens	Chlorinated Copper Phthalocyanine (PG 7)  Benzimidazolone Yellow (PY 151) 	"PG7-Phthalo Green,PY151-Benzimidazolone Yellow"	Excellent - LF I	Semi Opaque	Staining
Sap Green Permanent 174	174	Warm	480	Greens	Chlorinated Copper Phthalocyanine (PG 7) Isoindolinone Yellow (PY 110) 	"PG7-Phthalo Green,PY151-Benzimidazolone Yellow"	Excellent - LF I	Transparent	Staining
Permanent Green Pale 131	131	Warm	460	Greens	Chlorinated Copper Phthalocyanine (PG 7)  Arylide Yellow (PY 3)	"PG7-Phthalo Green,PY3-Hansa Yellow 10G"	Very Good - LF II	Transparent	Staining
Cadmium Orange 038	38	Warm	110	Oranges	Cadmium Seleno-Sulfide (PO 20) 	PO20-Cadmium Orange	Excellent - LF I	Opaque	Granulating  
Quinacridone Rust 157	157	Earth Tones	580	Earth Tones	Quinacridone Orange (PO 48) 	PO48-Quinacridone Gold	Excellent - LF I	Transparent	Staining
Nickel Quinacridone Gold 124	124	Earth Tones	560	Yellows	Quinacridone Orange (PO 48) Nickel Azo Complex (PY 150)	"PO48-Quinacridone Gold,PY150-Nickel Azo Yellow"	Excellent - LF I	Transparent	Staining
Azo Orange 117	117	Warm	100	Oranges	Benzimidazolone Orange (PO 62) 	PO62-Benzimidazolone Orange	Very Good - LF II	Transparent	Staining
Scarlet Pyrrol 176	176	Warm	120	"Reds, Oranges"	Diketo Pyrrolopyrrol (PO 73)	PO73-Transparent Pyrrole Orange	Excellent - LF I	Transparent	Staining
Terra Rosa 179	179	Earth Tones	610	Earth Tones	Synthetic Iron Oxide (PR 101) 	PR101-Red Iron Oxide	Excellent - LF I	Opaque	Granulating  
Transparent Red Oxide 187	187	Earth Tones	590	Reds	Synthetic Iron Oxide (PR 101)	PR101-Red Iron Oxide	Excellent - LF I	Transparent	Granulating  
Cadmium Red 040	40	Warm	170	Reds	Cadmium Seleno-Sulfide (PR 108)	PR108-Cadmium Red	Excellent - LF I	Opaque	Granulating  
Cadmium Red Deep 045	45	Warm	180	Reds	Cadmium Seleno-Sulfide (PR 108)	PR108-Cadmium Red	Excellent - LF I	Opaque	Granulating  
Cadmium Red Light 050	50	Warm	140	Reds	Cadmium Seleno-Sulfide (PR 108)	PR108-Cadmium Red	Excellent - LF I	Opaque	Granulating  
Naphthol Red 120	120	Warm	150	Reds	Naphthol AS-D (PR 112)	PR112-Naphthol Red AS-D	Very Good - LF II	Transparent	Staining
Maroon Perylene 113	113	Cool	220	Reds	Perylene (PR 179)	PR179-Perylene Maroon	Excellent - LF I	Transparent	Staining
Quinacridone Red 155	155	Warm	130	Reds	Quinacridone Red (PR 209)	PR209-Quinacridone Red	Excellent - LF I	Transparent	Staining
Pyrrol Red 154	154	Warm	160	Reds	Diketo Pyrrolopyrrol (PR 254)	PR254-Pyrrole Red	Excellent - LF I	Semi Transparent	Staining
Ultramarine Pink 192	192	Cool	240	Violets	Silicate of Sodium & Aluminum with Sulfur (PR 258)	PR259-Ultramarine Pink	Excellent - LF I	Semi Opaque	Granulating  
Permanent Alizarin Crimson 129	129	Cool	210	Reds	Diketo Pyrrolopyrrol (PR 264)	PR264-Pyrrole Rubine	Very Good - LF II	Transparent	Staining
Alizarin Crimson 010	10	Cool	200	Reds	Alizarin Crimson (PR83)	PR83-Alizarin Crimson	Acceptable - LF III	Transparent	Staining
Cobalt Violet 099	99	Cool	260	Violets	Cobalt Phosphate (PV 14) 	PV14-Cobalt Violet	Excellent - LF I	Semi Transparent	Granulating  
Mineral Violet 116	116	Cool	250	Violets	Manganese Ammonium Pyro Phosphate & Silicate of Sodium (PV 16) Aluminum with Sulfur (PV 15)	"PV16-Manganese Violet,PV15-Ultramarine Violet"	Excellent - LF I	Semi Opaque	Granulating  
Quinacridone Rose 156	156	Cool	190	Reds	Quinacridone Violet (PV 19) 	PV19-Quinacridone Violet	Excellent - LF I	Transparent	Staining
Quinacridone Violet 158	158	Cool	230	Violets	Quinacridone Violet (PV 19) 	PV19-Quinacridone Violet	Excellent - LF I	Transparent	Staining
Neutral Tint 122	122	Monochrome	670	Blacks	Quinacridone Violet (PV 19) Chlorinated Copper  Phthalocyanine (PG 7)  	"PV19-Quinacridone Violet,PG7-Phthalo Green"	Excellent - LF I	Transparent	Staining
Dioxazine Purple 100	100	Cool	280	Violets	Carbazole Dioxazine (PV 23) 	PV37-Dioxazine Violet	Very Good - LF II 	Transparent	Staining
Chinese White 085	85	Monochrome	690	Whites	Titanium Dioxide (PW 6) 	PW6-Titanium White	Excellent - LF I	Opaque	Granulating  
Titanium White Opaque 180	180	Monochrome	700	Whites	Titanium Dioxide (PW 6) 	PW6-Titanium White	Excellent - LF I	Opaque	Granulating  
Indian Yellow 109	109	Warm	90	"Yellows, Oranges"	Isoindolinone Yellow (PY 110)	PY110-Isoindolinone Yellow	Excellent - LF I	Transparent	Staining
Azo Green 016	16	Warm	500	Greens	Azomethine Copper Complex (PY 129)	PY129-Green Gold	Excellent - LF I	Transparent	Staining
Olive Green 125	125	Warm	490	Greens	Azomethine Complex (PY 129)  Chlorinated Copper  Phthalocyanine  (PG 7) Isoindolinone Yellow (PY 110)  Amorphous Carbon (PBk 9) 	"PY129-Green Gold,PG7-Phthalo Green,PY110-Isoindolinone Yellow,PBk9-Ivory Black"	Excellent - LF I	Transparent	Staining
Nickel Azo Yellow 123	123	Earth Tones	540	Yellows	Nickel Azo Complex (PY 150) 	PY150-Nickel Azo Yellow	Excellent - LF I	Transparent	Staining
Azo Yellow 018	18	Cool	40	Yellows	Benzimidazolone Yellow (PY 151) 	PY151-Benzimidazolone Yellow	Excellent - LF I	Transparent	Staining
Gamboge 105	105	Warm	80	Yellows	Benzimidazolone Yellow (PY 151) Benzimidazolone Orange (PO 62) 	"PY151-Benzimidazolone Yellow,PO62-Benzimidazolone Orange"	Excellent - LF I	Transparent	Staining
Bismuth Yellow 019	19	Cool	10	Yellows	Bismuth Vanadium  Oxide (PY 184) 	PY184-Bismuth Yellow	Excellent - LF I	Opaque	Granulating  
Hansa Yellow 107	107	Cool	20	Yellows	Arylide Yellow (PY 3) 	PY3-Hansa Yellow 10G	Very Good - LF II 	Transparent	Staining
Cadmium Yellow 060	60	Cool	60	Yellows	Cadmium Zinc Sulfide (PY 35) 	PY35-Cadmium Yellow	Excellent - LF I	Opaque	Granulating  
Cadmium Yellow Deep 063	63	Warm	70	Yellows	Cadmium Zinc Sulfide (PY 35)  	PY35-Cadmium Yellow	Excellent - LF I	Opaque	Granulating  
Cadmium Yellow Light 070	70	Cool	30	Yellows	Cadmium Zinc Sulfide (PY 35)  	PY35-Cadmium Yellow	Excellent - LF I	Opaque	Granulating  
Transparent Yellow Oxide 188	188	Earth Tones	510	Yellows	Mars Orange (PY 42)	PY42-Mars Orange	Excellent - LF I	Transparent	Granulating  
Transparent Orange Oxide 186	186	Earth Tones	570	Oranges	Synthetic Iron Oxide (PY 42) Synthetic Iron Oxide (PR 101)	"PY42-Mars Orange,PR101-Red Iron Oxide"	Excellent - LF I	Transparent	Granulating  
Yellow Ochre 200	200	Earth Tones	520	Earth Tones	Natural Hydrated Iron Oxide (PY 43)	PY43-Yellow Ochre	Excellent - LF I	Semi Transparent	Granulating  
Hansa Yellow Deep  106	106	Cool	50	Yellows	Arylide Yellow  (PY 97) 	PY97-Permanent Yellow	Very Good - LF II 	Transparent	Staining
